temps(ns) flushed; temps(ns) unflushed 
1050;429
1142;473
755;431
687;459
1043;415
689;392
649;385
702;397
704;380
575;382
1163;378
589;382
833;451
728;445
686;429
1153;393
745;446
724;458
709;460
641;421
685;453
647;463
639;453
676;389
669;454
733;452
782;476
5542;415
1297;379
623;379
935;383
516;380
544;379
930;383
770;401
3815;532
920;683
2964;376
3324;377
3760;436
3269;882
3568;379
5739;432
3150;609
5521;469
1096;389
526;390
519;385
518;390
572;387
910;387
700;417
683;397
5752;380
1213;378
624;382
562;382
514;378
520;379
766;424
4279;1052
916;414
902;399
760;408
762;420
693;436
774;428
696;442
747;478
1698;383
2297;392
4166;385
5308;396
5845;769
7055;430
3092;729
3354;399
1193;380
507;378
491;382
496;379
539;384
507;380
504;379
507;382
502;381
443;375
518;379
507;379
500;378
502;378
710;386
506;378
510;380
497;380
625;407
800;405
1026;382
666;377
1087;380
521;380
501;379
503;379
502;379
502;381
533;377
685;379
1088;446
1407;472
825;469
710;391
521;378
523;378
515;381
517;378
539;380
535;380
520;377
583;377
1259;394
666;386
3399;422
1009;426
550;382
676;381
735;382
654;380
595;378
521;377
588;380
571;452
730;382
508;378
459;378
654;422
586;381
598;450
652;381
507;380
499;380
501;378
502;378
503;379
739;420
666;379
534;377
1631;1223
3033;380
3636;635
2429;379
2636;379
2379;946
7604;486
4753;423
877;379
528;380
845;382
510;377
506;381
599;385
507;380
516;379
823;382
523;380
507;381
506;380
501;379
503;378
502;380
504;380
522;377
500;381
515;378
1039;378
2689;404
2232;403
884;382
809;384
722;389
515;384
511;381
496;380
504;377
501;378
499;379
500;378
498;378
499;379
497;382
503;378
798;384
777;477
648;381
3046;377
4996;381
865;387
580;380
519;380
688;378
729;380
910;379
524;376
523;380
520;379
522;379
518;380
515;380
519;380
519;379
498;379
522;379
519;379
517;379
666;380
638;382
519;379
523;379
517;380
512;381
513;380
593;381
518;380
523;380
600;393
654;382
540;378
707;383
6028;1425
4691;1614
1432;560
3414;730
3447;500
3352;386
3002;383
5775;847
4623;1030
2742;544
4893;457
1180;398
1106;483
1268;424
557;381
938;382
528;438
1176;379
554;379
736;446
1037;382
824;489
910;432
873;420
1035;473
5693;410
2021;442
1307;448
937;390
790;388
721;420
790;379
740;447
824;407
769;385
2438;624
1223;503
965;389
880;416
895;416
712;439
642;383
630;383
537;379
520;381
632;384
516;377
519;381
516;379
589;379
539;383
521;379
522;380
518;380
557;380
591;380
535;378
525;377
522;378
526;379
517;380
520;379
634;380
546;378
519;379
621;385
529;383
544;381
519;379
520;381
520;381
669;399
684;393
737;411
560;391
728;422
4130;707
1129;463
4518;1102
3911;546
7899;695
7620;440
4181;481
4069;372
4599;955
1148;380
523;380
498;379
500;378
494;379
554;383
511;379
525;379
521;378
520;378
524;378
671;388
527;379
528;378
646;432
1264;449
3854;381
1141;414
1200;392
910;426
4265;474
6238;840
845;381
580;378
743;383
582;378
640;380
580;380
522;381
521;378
619;382
533;379
523;378
620;381
546;381
638;379
567;381
521;379
521;380
518;379
515;380
515;377
694;399
679;383
538;379
515;379
515;380
517;379
517;379
515;379
513;380
531;382
513;378
501;381
718;418
578;381
523;380
514;382
512;381
500;380
511;381
514;381
513;380
560;379
664;400
660;379
544;385
1642;843
2871;651
3744;381
5107;561
2787;379
7847;380
5615;409
5033;383
4073;506
910;383
509;378
505;380
500;379
501;378
553;379
593;380
527;378
523;377
1181;439
626;383
504;377
504;379
502;382
590;400
1049;454
1228;438
5525;407
4152;452
4172;392
879;386
689;425
678;383
678;380
520;381
520;380
521;380
498;379
517;379
516;378
516;382
519;380
639;378
521;381
653;385
520;379
520;380
512;379
817;459
934;455
610;382
491;377
490;382
535;382
512;378
493;381
501;381
496;379
497;378
500;380
497;381
511;380
497;378
640;385
531;380
518;381
